[watch-slurm] host=a2n16c1 job=3828688
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/distill_mask/submit_latest.tsv
[2026-09-23T03:01:32+08:00] host=a2n16c1 job=3828688 interval=120s post_wait=90s
[2026-09-23T03:01:32+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/distill_mask/submit_latest.tsv rows=4
[2026-09-23T03:01:32+08:00] WAIT maskR_1p7b_ckpt100 jid=3828684 state=PENDING
[2026-09-23T03:01:32+08:00] WAIT maskR_4b_ckpt100 jid=3828685 state=PENDING
[2026-09-23T03:01:32+08:00] WAIT maskS_4bi_ckpt100 jid=3828686 state=PENDING
[2026-09-23T03:01:32+08:00] WAIT maskS_olmo7bi_ckpt100 jid=3828687 state=PENDING
[2026-09-23T03:01:32+08:00] progress done=0/4 pending=4 failed=0
[2026-09-23T03:03:32+08:00] WAIT maskR_1p7b_ckpt100 jid=3828684 state=PENDING
[2026-09-23T03:03:32+08:00] WAIT maskR_4b_ckpt100 jid=3828685 state=PENDING
[2026-09-23T03:03:32+08:00] WAIT maskS_4bi_ckpt100 jid=3828686 state=PENDING
[2026-09-23T03:03:32+08:00] WAIT maskS_olmo7bi_ckpt100 jid=3828687 state=PENDING
[2026-09-23T03:03:32+08:00] progress done=0/4 pending=4 failed=0
[2026-09-23T03:05:32+08:00] WAIT maskR_1p7b_ckpt100 jid=3828684 state=PENDING
[2026-09-23T03:05:32+08:00] WAIT maskR_4b_ckpt100 jid=3828685 state=PENDING
[2026-09-23T03:05:32+08:00] WAIT maskS_4bi_ckpt100 jid=3828686 state=PENDING
[2026-09-23T03:05:32+08:00] WAIT maskS_olmo7bi_ckpt100 jid=3828687 state=PENDING
[2026-09-23T03:05:32+08:00] progress done=0/4 pending=4 failed=0
[2026-09-23T03:07:32+08:00] WAIT maskR_1p7b_ckpt100 jid=3828684 state=PENDING
[2026-09-23T03:07:32+08:00] WAIT maskR_4b_ckpt100 jid=3828685 state=PENDING
[2026-09-23T03:07:32+08:00] WAIT maskS_4bi_ckpt100 jid=3828686 state=PENDING
[2026-09-23T03:07:32+08:00] WAIT maskS_olmo7bi_ckpt100 jid=3828687 state=PENDING
[2026-09-23T03:07:32+08:00] progress done=0/4 pending=4 failed=0
[2026-09-23T03:09:32+08:00] WAIT maskR_1p7b_ckpt100 jid=3828684 state=PENDING
[2026-09-23T03:09:32+08:00] WAIT maskR_4b_ckpt100 jid=3828685 state=PENDING
[2026-09-23T03:09:32+08:00] WAIT maskS_4bi_ckpt100 jid=3828686 state=PENDING
[2026-09-23T03:09:32+08:00] WAIT maskS_olmo7bi_ckpt100 jid=3828687 state=PENDING
[2026-09-23T03:09:32+08:00] progress done=0/4 pending=4 failed=0
slurmstepd: error: *** JOB 3828688 ON a2n16c1 CANCELLED AT 2026-09-23T03:10:28 ***
