[watch-slurm] host=a2n17c3 job=3765005
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/jsd005_dapomath/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-19T17:08:02+08:00] host=a2n17c3 job=3765005 interval=120s post_wait=90s
[2026-09-19T17:08:02+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/jsd005_dapomath/submit_latest.tsv rows=4
[2026-09-19T17:08:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=PENDING
[2026-09-19T17:08:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:08:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:08:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:08:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:10:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=PENDING
[2026-09-19T17:10:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:10:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:10:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:10:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:12:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=PENDING
[2026-09-19T17:12:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:12:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:12:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:12:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:14:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=PENDING
[2026-09-19T17:14:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:14:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:14:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:14:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:16:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=PENDING
[2026-09-19T17:16:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:16:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:16:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:16:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:18:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:18:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:18:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:18:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:18:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:20:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:20:02+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:20:02+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=PENDING
[2026-09-19T17:20:02+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=PENDING
[2026-09-19T17:20:02+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:22:02+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
