[watch-slurm] host=a2n17c3 job=3606337
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/olmo3_7b_think_jsd_clip/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-10T21:12:22+08:00] host=a2n17c3 job=3606337 interval=120s post_wait=90s
[2026-09-10T21:12:22+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/olmo3_7b_think_jsd_clip/submit_latest.tsv rows=2
[2026-09-10T21:12:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:12:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:12:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:14:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:14:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:14:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:16:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:16:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:16:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:18:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:18:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:18:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:20:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:20:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:20:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:22:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:22:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:22:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:24:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:24:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:24:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:26:22+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:26:22+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:26:22+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:28:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:28:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:28:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:30:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:30:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:30:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:32:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:32:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:32:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:34:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:34:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:34:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:36:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:36:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:36:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:38:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:38:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:38:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:40:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:40:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:40:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:42:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:42:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:42:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:44:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:44:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
