[watch-slurm] host=a2n16c1 job=3775932
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_instr/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-20T23:15:55+08:00] host=a2n16c1 job=3775932 interval=120s post_wait=90s
[2026-09-20T23:15:55+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_instr/submit_latest.tsv rows=1
[2026-09-20T23:15:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:15:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:17:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:17:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:19:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:19:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:21:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:21:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:23:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:23:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:25:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:25:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:27:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:27:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:29:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:29:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:31:55+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:31:55+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:33:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:33:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:35:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:35:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:37:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:37:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:39:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:39:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:41:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:41:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:43:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:43:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:45:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:45:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:47:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:47:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:49:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:49:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:51:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:51:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:53:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:53:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:55:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:55:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:57:56+08:00] WAIT st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 state=RUNNING
[2026-09-20T23:57:56+08:00] progress done=0/1 pending=1 failed=0
[2026-09-20T23:59:56+08:00] READY st_tt_instr_clip005_1p7b_ckpt100 jid=3775931 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_instr_clip005_1e_6_openthoughts_1p7b/3775931/checkpoint-100 (train_state=FAILED)
[2026-09-21T00:01:27+08:00] SUBMITTED evals for st_tt_instr_clip005_1p7b_ckpt100 tag=st_tt_instr_clip005_1p7b_ckpt100
[2026-09-21T00:01:27+08:00] progress done=1/1 pending=0 failed=0
[2026-09-21T00:01:27+08:00] ALL trains handled (done=1 failed=0); exiting
[2026-09-21T00:01:27+08:00] watch finished
