[watch-slurm] host=a2n17c3 job=3807705
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_postthink/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-22T00:01:58+08:00] host=a2n17c3 job=3807705 interval=120s post_wait=90s
[2026-09-22T00:01:58+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_postthink/submit_latest.tsv rows=2
[2026-09-22T00:01:58+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=PENDING
[2026-09-22T00:01:58+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=PENDING
[2026-09-22T00:01:58+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:03:58+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=PENDING
[2026-09-22T00:03:58+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=PENDING
[2026-09-22T00:03:58+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:05:58+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:05:58+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:05:58+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:07:58+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:07:58+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:07:58+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:09:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:09:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:09:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:11:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:11:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:11:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:13:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:13:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:13:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:15:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:15:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:15:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:17:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:17:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:17:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:19:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:19:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:19:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:21:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:21:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:21:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:23:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:23:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:23:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:25:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:25:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:25:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:27:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:27:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:27:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:29:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:29:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:29:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:31:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:31:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:31:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:33:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:33:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:33:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:35:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:35:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:35:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:37:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:37:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:37:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:39:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:39:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:39:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:41:59+08:00] WAIT st_tt_omr_postthink_t1k_ckpt100 jid=3807703 state=RUNNING
[2026-09-22T00:41:59+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:41:59+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T00:43:59+08:00] READY st_tt_omr_postthink_t1k_ckpt100 jid=3807703 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_clip005_1e_6_openmath_postthink_t1k_1p7b/3807703/checkpoint-100 (train_state=FAILED)
[2026-09-22T00:45:29+08:00] SUBMITTED evals for st_tt_omr_postthink_t1k_ckpt100 tag=st_tt_omr_postthink_t1k_ckpt100
[2026-09-22T00:45:29+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:45:29+08:00] progress done=1/2 pending=1 failed=0
[2026-09-22T00:47:29+08:00] WAIT st_tt_omr_postthink_t4k_ckpt100 jid=3807704 state=RUNNING
[2026-09-22T00:47:29+08:00] progress done=1/2 pending=1 failed=0
[2026-09-22T00:49:29+08:00] READY st_tt_omr_postthink_t4k_ckpt100 jid=3807704 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_clip005_1e_6_openmath_postthink_t4k_1p7b/3807704/checkpoint-100 (train_state=FAILED)
[2026-09-22T00:50:59+08:00] SUBMITTED evals for st_tt_omr_postthink_t4k_ckpt100 tag=st_tt_omr_postthink_t4k_ckpt100
[2026-09-22T00:50:59+08:00] progress done=2/2 pending=0 failed=0
[2026-09-22T00:50:59+08:00] ALL trains handled (done=2 failed=0); exiting
[2026-09-22T00:50:59+08:00] watch finished
