[watch-slurm] host=a3n12c3 job=3819040
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_ptcot/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-22T03:35:38+08:00] host=a3n12c3 job=3819040 interval=120s post_wait=90s
[2026-09-22T03:35:38+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_ptcot/submit_latest.tsv rows=2
[2026-09-22T03:35:38+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:35:38+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:35:38+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:37:38+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:37:38+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:37:38+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:39:38+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:39:38+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:39:38+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:41:38+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:41:38+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:41:38+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:43:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:43:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:43:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:45:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:45:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:45:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:47:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:47:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:47:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:49:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:49:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:49:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:51:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:51:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:51:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:53:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:53:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:53:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:55:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:55:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:55:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:57:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:57:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:57:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T03:59:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T03:59:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T03:59:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:01:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:01:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:01:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:03:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:03:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:03:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:05:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:05:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:05:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:07:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:07:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:07:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:09:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:09:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:09:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:11:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:11:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:11:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:13:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:13:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:13:39+08:00] progress done=0/2 pending=2 failed=0
[2026-09-22T04:15:39+08:00] WAIT st_tt_omr_ptcot_t1k_ckpt100 jid=3819038 state=PENDING
[2026-09-22T04:15:39+08:00] WAIT st_tt_omr_ptcot_t4k_ckpt100 jid=3819039 state=PENDING
[2026-09-22T04:15:39+08:00] progress done=0/2 pending=2 failed=0
