[watch-slurm] host=a3n11c3 job=3798725
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_s1k_t2k/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-21T20:01:24+08:00] host=a3n11c3 job=3798725 interval=120s post_wait=90s
[2026-09-21T20:01:24+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_omr_s1k_t2k/submit_latest.tsv rows=1
[2026-09-21T20:01:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:01:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:03:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:03:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:05:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:05:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:07:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:07:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:09:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:09:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:11:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:11:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:13:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:13:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:15:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:15:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:17:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:17:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:19:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:19:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:21:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:21:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:23:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=PENDING
[2026-09-21T20:23:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:25:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:25:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:27:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:27:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:29:24+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:29:24+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:31:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:31:25+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:33:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:33:25+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:35:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:35:25+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:37:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:37:25+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:39:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:39:25+08:00] progress done=0/1 pending=1 failed=0
[2026-09-21T20:41:25+08:00] WAIT st_tt_omr_s1k_t2k_ckpt100 jid=3798724 state=RUNNING
[2026-09-21T20:41:25+08:00] progress done=0/1 pending=1 failed=0
