# model_key	model_tag	run_name	train_jid	script
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_topk1_c1024_1p7b	3477428	scripts/train/qwen3_1.7b/topk/opsd_st_tt_clip005_topk1_c1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_topk4_c1024_1p7b	3477429	scripts/train/qwen3_1.7b/topk/opsd_st_tt_clip005_topk4_c1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_topk16_c1024_1p7b	3477430	scripts/train/qwen3_1.7b/topk/opsd_st_tt_clip005_topk16_c1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_topk1_rkl_c1024_olmo7bt	3477431	scripts/train/olmo3_7b_think/topk/opsd_st_tt_clip005_topk1_c1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_topk4_rkl_c1024_olmo7bt	3477432	scripts/train/olmo3_7b_think/topk/opsd_st_tt_clip005_topk4_c1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_topk16_rkl_c1024_olmo7bt	3477433	scripts/train/olmo3_7b_think/topk/opsd_st_tt_clip005_topk16_c1024_ot.sh
qwen3_4b_instruct	qwen3_4b_instruct	snt_tnt_clip005_topk1_c1024_oti	3477434	scripts/train/qwen3_4b_instruct/topk/opsd_snt_tnt_clip005_topk1_c1024_ot.sh
qwen3_4b_instruct	qwen3_4b_instruct	snt_tnt_clip005_topk4_c1024_oti	3477435	scripts/train/qwen3_4b_instruct/topk/opsd_snt_tnt_clip005_topk4_c1024_ot.sh
qwen3_4b_instruct	qwen3_4b_instruct	snt_tnt_clip005_topk16_c1024_oti	3477436	scripts/train/qwen3_4b_instruct/topk/opsd_snt_tnt_clip005_topk16_c1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_c256_seed1024_1p7b	3477437	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_c256_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_c1024_seed1024_1p7b	3477438	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_c1024_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_answer_seed1024_1p7b	3477439	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_answer_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_ios_seed1024_1p7b	3477440	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_ios_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_first256_seed1024_1p7b	3477441	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_first256_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_uni256_seed1024_1p7b	3477442	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_uni256_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_last256_seed1024_1p7b	3477443	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_last256_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_c256_seed1024_olmo7bt	3477444	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_c256_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_c1024_seed1024_olmo7bt	3477445	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_c1024_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_answer_seed1024_olmo7bt	3477446	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_answer_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_ios_seed1024_olmo7bt	3477447	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_ios_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_first256_seed1024_olmo7bt	3477448	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_first256_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_uni256_seed1024_olmo7bt	3477449	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_uni256_seed1024_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_last256_seed1024_olmo7bt	3477450	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_last256_seed1024_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_c256_seed65536_1p7b	3477451	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_c256_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_c1024_seed65536_1p7b	3477452	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_c1024_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_answer_seed65536_1p7b	3477453	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_answer_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_ios_seed65536_1p7b	3477454	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_ios_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_first256_seed65536_1p7b	3477455	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_first256_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_uni256_seed65536_1p7b	3477457	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_uni256_seed65536_ot.sh
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_last256_seed65536_1p7b	3477458	scripts/train/qwen3_1.7b/jsd005/seed/opsd_st_tt_clip005_last256_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_c256_seed65536_olmo7bt	3477459	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_c256_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_c1024_seed65536_olmo7bt	3477460	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_c1024_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_answer_seed65536_olmo7bt	3477461	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_answer_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_ios_seed65536_olmo7bt	3477462	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_ios_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_first256_seed65536_olmo7bt	3477463	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_first256_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_uni256_seed65536_olmo7bt	3477464	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_uni256_seed65536_ot.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_last256_seed65536_olmo7bt	3477465	scripts/train/olmo3_7b_think/jsd005/seed/opsd_st_tt_clip005_last256_seed65536_ot.sh
