[watch-slurm] host=a3n11c3 job=3798771
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/s1.7b_t4b_it/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-21T20:08:26+08:00] host=a3n11c3 job=3798771 interval=120s post_wait=90s
[2026-09-21T20:08:26+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/s1.7b_t4b_it/submit_latest.tsv rows=2
[2026-09-21T20:08:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:08:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:08:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:10:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:10:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:10:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:12:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:12:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:12:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:14:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:14:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:14:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:16:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:16:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:16:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:18:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:18:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:18:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:20:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:20:26+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=PENDING
[2026-09-21T20:20:26+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:22:26+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:22:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:22:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:24:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:24:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:24:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:26:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:26:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:26:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:28:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:28:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:28:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:30:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:30:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:30:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:32:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
