[watch-slurm] host=a2n17c2 job=3749338
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/snt_tt_same_clip005/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-18T00:27:30+08:00] host=a2n17c2 job=3749338 interval=120s post_wait=90s
[2026-09-18T00:27:30+08:00] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/snt_tt_same_clip005/submit_latest.tsv rows=3
[2026-09-18T00:27:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:27:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:27:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:27:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:29:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:29:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:29:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:29:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:31:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:31:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:31:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:31:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:33:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:33:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:33:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:33:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:35:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
